shot number,fiducials,fid0,time_per_pixel,t0-fid0
110326, [151 191 208 234 275 315 357 392 428], 2580.884332129964, 15.833646209386282, 190.0037545126354
110328, [150 191 193 208 211 232 273 315 355 393 428], 3214.5007194244604, 19.720863309352517, 256.3712230215827
110329, [149 189 208 211 213 232 272 274 312 354 391 427], 3492.5648920863305, 21.692949640287768, 260.31539568345323
110330, [153 196 233 277 317 356 394 429], 2280.360579710145, 13.90463768115942, 152.95101449275361
110331, [152 191 193 234 276 316 355 393 428], 2606.126376811594, 15.891014492753623, 190.69217391304346
110332, [148 187 230 270 272 311 351 389 424], 2542.56231884058, 15.891014492753623, 190.69217391304346
110333, [150 193 233 275 315 355 393 429], 2255.8405734767025, 13.755125448028675, 192.57175627240144
110334, [150 192 232 273 276 315 355 394 428], 2587.3772661870503, 15.776690647482015, 220.8736690647482
110336, [149 190 230 232 272 274 313 315 355 392 428], 3183.3290322580647, 19.650179211469535, 255.45232974910397
110337, [150 189 232 274 314 354 391 427], 2244.4193501805053, 13.854440433212996, 166.25328519855594
110339, [149 191 208 213 231 274 313 338 353 389 391 427], 3492.5648920863305, 21.692949640287768, 260.31539568345323
110340, [150 190 230 232 274 314 353 391 428], 2540.0471942446043, 15.776690647482015, 173.54359712230217
107853, [ 98 137 178 219 260 301 342 380], 1401.705815602837, 13.608794326241135, 68.04397163120568
113493, [166 207 247 291 330 369 406 440], 2493.091386861314, 14.006131386861313, 168.07357664233575
113595, [163 205 247 289 329 368 405 440], 2466.0903971119133, 13.854440433212996, 207.81660649819494
108814, [ 37  94 128 132 171 178 213 235 248 252 254 256 281 286 296 335 349 362
 373 376 383 388 412 445 451 458 464 469 471 478 485 488 510 518], 5378.6789189189185, 37.61313929313929, 3986.992765072765
108815, [ 91 129 169 210 251 292 333 372], 1324.7507473309606, 13.657224199288255, 81.94334519572953
108812, [ 95 134 172 213 255 295 335 362 374], 1587.7344802867383, 15.720143369175627, 94.32086021505376
108810, [ 92 130 169 211 252 293 334 372], 1343.1879999999999, 13.706, 82.23599999999999
108809, [ 93 131 170 213 253 294 334 374], 1912.0113879003557, 13.657224199288255, 641.889537366548
108808, [ 93 130 171 211 253 294 296 335 372], 2027.898494623656, 15.720143369175627, 565.9251612903225
108807, [ 92 130 170 212 252 294 296 334 374], 2161.8541843971634, 15.55290780141844, 730.9866666666667
108806, [ 92 130 170 213 251 255 297 334 374], 2130.7483687943263, 15.55290780141844, 699.8808510638298
108805, [ 92 130 134 171 211 254 293 334 373], 2247.588896797153, 15.608256227758007, 811.6293238434164
105748, [140 182 223 263 304 344 383 419], 2077.02394265233, 13.755125448028675, 151.30637992831544
105758, [139 178 218 262 303 343 380 416], 2022.7483032490975, 13.854440433212996, 96.98108303249097
105760, [137 176 218 260 301 342 380 416], 1994.4931899641579, 13.755125448028675, 110.0410035842294
105762, [137 179 220 262 302 343 381 419], 2000.4927659574469, 13.608794326241135, 136.08794326241136
106385, [163 204 246 288 328 367 404 439], 2322.074492753623, 13.90463768115942, 55.61855072463768
103739, [146 187 227 270 311 350 387 423], 2064.3116245487363, 13.854440433212996, 41.563321299638986
103740, [146 188 228 270 311 351 389 424], 2098.299856115108, 13.804604316546763, 82.82762589928058
103741, [145 186 228 269 309 350 388 423], 2070.6906474820144, 13.804604316546763, 69.02302158273382
103743, [144 185 227 268 309 349 387 421], 2050.4571841155234, 13.854440433212996, 55.417761732851986
103744, [146 188 229 272 311 352 389 424], 2070.6906474820144, 13.804604316546763, 55.21841726618705
103745, [144 186 227 268 309 349 386 422], 2056.8860431654675, 13.804604316546763, 69.02302158273382
103746, [147 188 228 270 311 351 388 424], 2078.1660649819496, 13.854440433212996, 41.563321299638986
103747, [147 189 230 272 312 352 389 424], 2092.0205054151625, 13.854440433212996, 55.417761732851986
103748, [144 185 226 269 309 350 387 423], 2063.2688172043013, 13.755125448028675, 82.53075268817204
103749, [146 187 229 270 311 350 388 423], 2064.3116245487363, 13.854440433212996, 41.563321299638986
103750, [144 185 226 269 308 349 387 422], 2043.081438848921, 13.804604316546763, 55.21841726618705
103751, [146 187 227 270 310 351 388 423], 2078.1660649819496, 13.854440433212996, 55.417761732851986
105459, [137 178 219 260 301 341 379 416], 1994.4931899641579, 13.755125448028675, 110.0410035842294
105460, [134 174 214 257 297 338 376 413], 1953.2278136200719, 13.755125448028675, 110.0410035842294
105461, [132 173 213 255 295 336 374 410], 1918.8400000000001, 13.804604316546763, 96.63223021582735
105463, [135 176 217 258 299 339 377 413], 1974.0584172661872, 13.804604316546763, 110.4368345323741
105466, [135 175 216 257 298 339 377 413], 1974.0584172661872, 13.804604316546763, 110.4368345323741
105467, [137 177 218 260 300 341 379 415], 2001.6676258992807, 13.804604316546763, 110.4368345323741
105470, [136 176 217 259 299 339 378 414], 1974.0584172661872, 13.804604316546763, 96.63223021582735
105472, [136 176 217 258 300 340 378 415], 1953.2278136200719, 13.755125448028675, 82.53075268817204
105474, [132 173 214 255 296 336 374 411], 1925.7175627240144, 13.755125448028675, 110.0410035842294
109483, [153 194 235 276 316 357 393 430], 2258.2737906137186, 13.854440433212996, 138.54440433212997
109485, [154 157 178 197 237 281 319 357 360 380 396 432], 3557.643741007194, 21.692949640287768, 216.92949640287767
109486, [151 192 233 274 316 355 392 428], 2244.4193501805053, 13.854440433212996, 152.39884476534297
109488, [151 191 232 234 272 274 314 354 391 427], 2878.2599999999998, 17.877391304347825, 178.77391304347825
109491, [149 153 191 234 276 315 354 392 428], 2530.943082437276, 15.720143369175627, 188.6417204301075
109493, [149 189 191 232 272 313 355 391 426 490], 2329.6180645161294, 14.46967741935484, 173.63612903225808
109495, [149 187 191 205 209 211 213 230 248 270 312 351 390 410 427], 4389.864172661871, 27.609208633093527, 276.0920863309353
109496, [148 189 229 244 272 311 352 362 389 425], 2796.617761732852, 17.81285198555957, 160.31566787003612
  58  61  63  67  70  73  78  82  86  90  93  95 100 103 105 108 111 113
 116 118 122 125 129 136 138 154 167 170 172 193 213 232 234 258 276 281
 297 300 315 317 333 336 356 394 410 412 429 452 454 456 459 461 465 467
 471 473 478 483 486 488 495 497 499 502 504 507 510 514 516 519 521 523], 15136.28315992293, 94.01418111753372, 14760.226435452794
109498, [154 193 232 234 276 281 315 317 356 394 429], 3209.696, 19.936, 139.552
109492, [150 190 231 272 275 314 353 390 426], 2542.56231884058, 15.891014492753623, 158.91014492753624
105750, [142 182 223 266 306 346 385 421], 2049.5136917562727, 13.755125448028675, 96.28587813620072
77961, [141 184 226 272 315 362 404 447], 1555.1383006535948, 12.541437908496732, -213.20444444444445
105757, [139 179 221 263 304 344 382 418], 2008.2483154121865, 13.755125448028675, 96.28587813620072
